link,address,list_price,beds,baths,sqft
https://www.zillow.com/homedetails/105-E-Parr-Rd-Berne-IN-46711/85090072_zpid/,"105 E Parr Rd, Berne, IN 46711",,3,1,1387
https://www.zillow.com/homedetails/105-Portland-St-Berne-IN-46711/111820380_zpid/,"105 Portland St, Berne, IN 46711",,3,2,1648
https://www.zillow.com/homedetails/1050-Black-Bear-Path-Berne-IN-46711/251678299_zpid/,"1050 Black Bear Path, Berne, IN 46711",,0,0,
https://www.zillow.com/homedetails/1055-Rose-Ln-Berne-IN-46711/85083712_zpid/,"1055 Rose Ln, Berne, IN 46711",,3,4,3000
https://www.zillow.com/homedetails/1055-W-Main-St-Berne-IN-46711/85090054_zpid/,"1055 W Main St, Berne, IN 46711",,3,2,1235
https://www.zillow.com/homedetails/1055-W-Water-St-Berne-IN-46711/85090036_zpid/,"1055 W Water St, Berne, IN 46711",,3,1.5,1430
https://www.zillow.com/homedetails/1056-Rose-Ln-Berne-IN-46711/85083679_zpid/,"1056 Rose Ln, Berne, IN 46711",,4,2.5,1873
https://www.zillow.com/homedetails/1056-W-Clark-St-Berne-IN-46711/85090045_zpid/,"1056 W Clark St, Berne, IN 46711",,3,1,1192
https://www.zillow.com/homedetails/1056-W-Water-St-Berne-IN-46711/85090062_zpid/,"1056 W Water St, Berne, IN 46711",,3,1.5,1214
https://www.zillow.com/homedetails/1065-W-Main-St-Berne-IN-46711/85090057_zpid/,"1065 W Main St, Berne, IN 46711",,3,2,1176
https://www.zillow.com/homedetails/1065-W-Water-St-Berne-IN-46711/85090052_zpid/,"1065 W Water St, Berne, IN 46711",,3,1.5,1344
https://www.zillow.com/homedetails/1066-W-Clark-St-Berne-IN-46711/85090061_zpid/,"1066 W Clark St, Berne, IN 46711",,3,1.5,1628
https://www.zillow.com/homedetails/1066-W-Water-St-Berne-IN-46711/85090055_zpid/,"1066 W Water St, Berne, IN 46711",,2,1.5,1150
https://www.zillow.com/homedetails/1075-W-Main-St-Berne-IN-46711/85090030_zpid/,"1075 W Main St, Berne, IN 46711",,3,1.5,1497
https://www.zillow.com/homedetails/1075-W-Water-St-Berne-IN-46711/85090033_zpid/,"1075 W Water St, Berne, IN 46711",,2,2,1597
https://www.zillow.com/homedetails/1076-Mill-Pond-Rd-Berne-IN-46711/85083739_zpid/,"1076 Mill Pond Rd, Berne, IN 46711",,3,2,1651
https://www.zillow.com/homedetails/1076-W-Clark-St-Berne-IN-46711/85090060_zpid/,"1076 W Clark St, Berne, IN 46711",,3,2,1941
https://www.zillow.com/homedetails/1076-W-Water-St-Berne-IN-46711/85090050_zpid/,"1076 W Water St, Berne, IN 46711",,3,1.5,1944
https://www.zillow.com/homedetails/1080-W-500-S-Berne-IN-46711/2128863397_zpid/,"1080 W 500 S, Berne, IN 46711",,0,0.5,4856
